id,ret
50,您好，如页面或订单承诺免费安装，标准安装服务不应额外收费；确需额外配件或特殊安装的，师傅应提前说明收费项目和标准。若安装人员操作不规范导致家电损坏，请保留现场照片、收费凭证和安装人员信息并联系客服，我们会核实责任，安排维修、换机或补偿，并对不规范收费进行处理。
51,您好，商品在质保期内出现非人为质量问题，维修及必要配件更换原则上应免费。若维修人员要求收取配件费，请提供维修单号和收费明细，我们会重新核实保修责任；维修已超过承诺时限的，我们会为您加急处理，并根据情况提供延长质保或相应补偿。
52,您好，大型设备上门检修后如确认无法现场修复，可安排返厂或拉回仓库维修。拉回前请与检修人员共同确认设备外观、配件清单和故障描述，并拍照留存；运输过程应由服务方妥善包装和承运，若运输中产生损坏，由责任方承担。维修周期和预计完成时间客服会为您登记并持续跟进。
53,您好，试用期间如商品出现非人为故障，请先停止使用并联系客服登记故障现象。经检测确认为质量问题的，可为您安排换货或维修；是否延长试用期需结合活动规则和故障处理时间核实，我们会尽量为您申请合理延长。
54,很抱歉，若商品下单页面和包装均未提示临期，而您收到后发现临近过期，可以联系客服申请退货退款。请提供商品生产日期、保质期和订单照片，经核实后我们会优先处理；如确属信息披露不充分，会按平台规则为您处理。
55,很抱歉给您带来困扰。商品实物颜色与详情页明显不一致，或存在异常异味的，请拍摄商品实物、包装和订单信息联系客服。经核实后可为您安排换货或退货；如属于商品质量或描述问题，相关运费由我们承担。
57,您好，即使没有当场验货，拆包后发现商品损坏也可以申请售后。请尽快拍摄外包装、快递面单、商品损坏处和开箱情况，联系在线客服登记；经核实为运输或商品问题的，我们会安排补发、换货或退款。
58,很抱歉给您带来不愉快的体验。如商品实际功能或续航与详情页描述明显不符，请提供商品页面截图、实测情况和订单信息联系客服。经核实属于描述不符或质量问题的，可为您办理退货退款，并按平台规则承担相应责任。
64,"""个人防护装备 使用吹风机的人员需佩戴以下防护装备： 1. 合格的听力防护装备 2. 合格的眼部防护装备。 3. 在多尘环境中操作时佩戴面罩。 4. 防滑鞋底的工作靴或工作鞋 5. 急救箱。<PIC>"", [""Manual04_3""]"
65,"""操作吹风机时，核心安全要点如下：1. 禁止无关人员和动物进入作业区域，至少与操作人员保持 10 米距离。2. 吹风机可能高速喷射物体，反弹物可能击中操作人员，必须重点防护眼部。3. 严禁将喷口对准人或动物。4. 安装或拆卸配件及其他部件前，必须先关闭发动机。5. 防护装置缺失时严禁操作。6. 不要在通风不良空间操作，避免吸入废气。7. 加油前必须关闭发动机。8. 催化消音器在运行中、停机后和怠速时都可能非常烫，靠近易燃材料或易燃气体时要特别注意火灾风险。9. 操作时避免身体接触排气口区域，左手操作时尤其要小心。10. 严禁站在梯子或支架上操作吹风机。开始吹扫前，应佩戴听力保护、眼部防护，多尘环境还要佩戴面罩，防护要求见图。<PIC>实际吹扫时，应按图示穿戴防护用品，不要让喷口对准人或动物。<PIC>作业姿态应保持稳定，并让喷管朝向作业区域，正确操作姿态见图。<PIC>安全标识还强调阅读说明书、远离风扇/进气口，并保持 10 米（50 英尺）安全距离。<PIC>其他操作建议包括：只在合理时段使用，使用完成作业所需的最低油门；作业前检查消音器、进气口和空气滤清器；吹扫前先松动地面杂物；多尘环境可轻微喷水降尘；留意儿童、宠物、敞开的窗户和刚清洗的车辆，作业后将杂物清理并投入垃圾桶。"", [""Manual04_32"", ""Manual04_33"", ""Manual04_34"", ""Manual04_35""]"
66,"""化油器调节位置见图中 19 号调节螺钉。<PIC>这台吹风机的化油器有三个调节件：H 高速油针、L 低速油针和 T 怠速调节螺钉。调节前应确认吹风管和喷口已装好，并让发动机预热；顺时针旋入油针会使混合气变稀、转速升高，逆时针旋出会使混合气变浓、转速降低。基础设置为 H、L 油针逆时针旋至限位，推荐怠速约 3000 转/分钟。低速调节时先让怠速稳定，再微调 L 螺钉至最大怠速后最多回退 1/4 圈；高速调节时全油门时间不要超过 10 秒，调好 H 螺钉后按手册要求回退约 1/8 圈。不要拆除 H、L 油针限位装置，调节不确定时应交由维修人员处理。"", [""Manual04_17""]"
67,"""冷机启动前，先确认检修盖已关闭且完好；除安装吸尘管的情况外，检修盖未关闭、损坏或无法闭合时不要启动吹风机。<PIC>冷机启动时，将停机开关调至启动位置，把阻风门控制器拨到阻风门位置 A，此位置同时是自动启动油门位置；反复按压泵油膜片，直到膜片内充满燃油即可，不要求完全充满。<PIC>启动时左手把机身按在地面，不能用脚踩压；右手握住启动手柄，先缓慢拉到感觉有阻力，再快速用力拉动。发动机点火后立即按下阻风门控制器，重复拉动直至发动机启动；启动后迅速全开油门解除启动油门。注意不要把启动绳完全拉出，也不要在启动绳完全拉出时松手。<PIC>"", [""Manual04_24"", ""Manual04_25"", ""Manual04_28""]"
68,"""启动与停机 启动 热机启动<PIC>点火：将停机开关调至启动位置 阻风门：先将阻风门控制器调至阻风门位置，再转回原位（B），仅启用启动油门，不使用阻风门。 泵油：反复按压泵油膜片直至燃油充满膜片，无需完全充满。<PIC>左手将设备机身按压在地面（注意！切勿用脚踩压）。右手握紧启动手柄，缓慢拉动启动绳至感受到阻力（启动钩啮合），然后快速用力拉动。 发动机点火后立即按下阻风门控制器，重复操作直至发动机启动。发动机启动后迅速全开油门，启动油门自动解除。 注意！切勿完全拉出启动绳，切勿在启动绳完全拉出时松手，以免损坏设备。<PIC>"", [""Manual04_26"", ""Manual04_27"", ""Manual04_28""]"
69,"""关闭吹风机时，松开油门后按下手柄上的停机开关，通过切断点火电源让发动机停止。<PIC>停机后不要马上触碰消音器或排气口区域，安装、拆卸配件或进行检查维护前，应确认发动机已经停止并等待高温部件冷却。"", [""Manual04_29""]"
70,"""空调的重要组成部件可分为室内机和室外机两部分。室内机包括前格栅、进风口、空气滤网、3M 多重防护滤网（可选）、等离子滤网、出风口、导风板、开/关键、信号接收器和运行指示灯。<PIC>室外机包括进风口、出风口、底板、冷媒管、排水管和连接线。<PIC>不同型号的功能和指示灯位置可能不同，以实际机型为准。"", [""Manual01_0"", ""Manual01_1""]"
71,"""可以通过无线遥控器图示查找按键。遥控器左侧标出显示屏和控制面板，右侧表格对应每个按键的图标、显示符号和功能说明。常用按键包括开/关、温度调节、风速、模式、极速制冷/制热、上下/左右摆风、室温、定时、节能/自清洁、灯光、设置/清除和复位键。<PIC>带星号的按键或功能会因机型不同而不一定支持。"", [""air_conditioner_01""]"
72,"""给空调遥控器安装电池时，先取下遥控器背面的电池盖。<PIC>装入两节 7 号电池，并按照电池仓内的正负极标识确认方向，避免新旧电池或不同型号电池混用。<PIC>装好后重新扣上电池盖。若遥控器显示屏变暗，应及时更换电池；如电池漏液，应停止使用并避免皮肤或衣物接触漏液。 安装完成后可按开/关键测试遥控器是否正常显示并能发出指令；若长时间不用遥控器，建议取出电池以降低漏液风险。"", [""Manual01_2"", ""Manual01_3""]"
73,"""安装空调遥控器支架时，应选择安全、便于取放且没有阳光直射的位置，以保护遥控器。确定位置后，用螺丝刀把两颗螺丝拧紧，将支架固定牢靠。<PIC>最后把遥控器从上方向下滑入支架中。<PIC>日常使用时，将遥控器对准空调底部的信号接收器，并保持信号发射器和接收器清洁。"", [""Manual01_4"", ""Manual01_5""]"
74,"""快速调节室内温度可使用极速制冷/制热模式。先按开/关键开启空调，再按极速键进入该模式。<PIC>极速制冷时，空调以 18 摄氏度强风运行 30 分钟；极速制热时，以 30 摄氏度强风运行 30 分钟。该功能适合短时间内快速降温或升温，但在循环、自动或自动转换模式下不能使用，且部分机型可能不支持。 如果屏幕未显示极速模式标识，通常说明当前运行模式或机型不支持该功能，可先切换到常规制冷或制热模式后再尝试。"", [""Manual01_16""]"
75,"""自清洁运行用于去除制冷和除湿运行后室内机内部产生的水汽。按下自清洁键后，显示屏会出现自清洁标识。<PIC>如果此时关闭电源，风扇仍会继续运行约 30 分钟，对室内机内部进行干燥清洁。自清洁运行期间部分按键无法使用，这是正常限制；运行结束后再按普通方式操作空调。"", [""Manual01_17""]"
76,"""等离子净化功能通过等离子滤网去除吸入空气中的微小污染物，输出更洁净的空气。使用时可先按开/关键开启电源，再按等离子键，显示屏会显示等离子标识。<PIC>手册还说明无需开启空调也可直接按等离子键使用该功能；运行时等离子灯和制冷灯会同时亮起。部分机型不支持此功能。"", [""Manual01_18""]"
77,"""单冷型空调开启自动运行时，风扇转速和温度会根据室内温度自动调节。先按开/关键开启电源，再反复按模式键选择自动运行模式。如果当前温度高于或低于所需温度，可按上升/下降键选择所需运行代码。<PIC>该模式下不能手动调节风扇转速，但可以设置导风板自动摆风；部分机型不支持此功能。 此处的“运行代码”用于表达希望室温更高或更低，设置后由空调自动匹配温度和风量，适合不想手动调风速的场景。"", [""Manual01_19""]"
78,"""自动转换运行会自动切换运行模式，并把设定温度波动控制在 2 摄氏度以内。先按开/关键开启电源，再反复按模式键选择自动转换运行，显示屏会出现对应标识。<PIC>随后按上升/下降键设置 18-30 摄氏度（64-86 华氏度）之间的目标温度，并反复按风速键选择风扇转速。部分机型不支持自动转换运行。 使用中如果需要更直接地控制温度或风量，可退出自动转换运行，改用普通制冷或制热模式按基础键调节。"", [""Manual01_20""]"
79,"""节能制冷模式用于降低制冷时的耗电量，并把设定温度调到更舒适的水平。操作时先按开/关键开启电源，反复按模式键选择制冷模式，然后按节能键；显示屏会显示节能标识。<PIC>如果空调处在不支持的机型或模式下，该功能可能无法开启。需要查看面板亮度时，可另按亮度键开启或关闭室内机显示屏。 节能制冷强调降低耗电量而不是最快降温；如果需要快速降温，应改用极速制冷模式。"", [""Manual01_21""]"
80,"""遥控器无法使用时，可以直接通过室内机的开/关键操作空调，此时风扇转速默认设为高速。先打开前盖板，轻轻掀起盖板两侧。<PIC>然后按下室内机开/关键启动或停止。<PIC>冷暖型机型会根据室内温度自动切换运行模式；单冷型机型默认温度为 22 摄氏度（71.6 华氏度）。<PIC>手册提醒，不同机型的功能和按键位置可能有所调整。 该方式适合遥控器丢失、没电或临时不可用时应急操作；恢复遥控器后，仍建议用遥控器进行精细的温度、模式和风向调节。"", [""Manual01_22"", ""Manual01_23"", ""Manual01_24""]"
81,"""空调自动重启功能用于在停电后再次来电时恢复停电前的运行设置，手册说明该功能为工厂默认开启。如需关闭自动重启，先打开前盖板。<PIC>按住室内机开/关键 6 秒，设备会发出两声蜂鸣，指示灯闪烁 6 次，即表示关闭。<PIC>如需重新开启，再次按住开/关键 6 秒，设备会发出两声蜂鸣，蓝色指示灯闪烁 4 次。注意不要只按 3-5 秒，否则会进入测试运行模式。"", [""Manual01_25"", ""Manual01_26""]"
82,"""空调滤网清洁频率以空气滤网为基准：手册建议每两周清洁一次，灰尘较多或使用频繁时可增加清洁次数。维护前应关闭电源并拔下电源线，避免触电。空气滤网需打开前盖板并取出后清洁。<PIC>取出时握住滤网把手轻轻上提。<PIC>3M 多重防护滤网和等离子滤网的位置、形状可能因机型不同而有差异，部分机型也可能未配备。 进行任何维护前都应先断电；清洁后必须等滤网完全干燥并牢固装回，避免影响风量或造成故障。"", [""Manual01_29"", ""Manual01_30""]"
83,"""清洁空调空气滤网前，先关闭电源并拔下电源线。打开前盖板，轻轻掀起盖板两侧。<PIC>握住空气滤网把手向上提起，将滤网从机身中取出。<PIC>用吸尘器清理滤网，或用温水冲洗；污垢较难清理时，可在温水中加入洗涤剂。清洗后放在阴凉处晾干，再装回机身。不要使用 40 摄氏度以上热水或挥发性物质，以免滤网变形、变色或损坏表面。 滤网积尘会堵塞风道并削弱制冷或除湿效果，所以即使机器仍可运行，也不建议长期拖延清洁。"", [""Manual01_29"", ""Manual01_30""]"
84,"""清洁 3M 多重防护滤网时，先关闭空调电源并拔下电源线。打开前盖板，按清洁空气滤网的方法先取出空气滤网。随后抽出 3M 多重防护滤网。<PIC>用吸尘器清理滤网上的污垢即可，切勿用水清洗 3M 多重防护滤网，否则可能造成滤网损坏。滤网的位置和形状会因机型不同而不同，装回时应确认滤网已牢固安装。 如果滤网已经明显损坏或吸尘后仍无法恢复清洁状态，应按机型配件要求更换适配滤网。"", [""Manual01_31""]"
85,"""清洁等离子滤网前，先关闭电源并拔下电源线，打开前盖板并取出空气滤网。在 10 秒内取下等离子滤网。<PIC>用吸尘器清理滤网污垢；如果污垢较难清理，可用温水冲洗。清洗后将滤网放在阴凉处完全晾干，再重新安装。手册提示，等离子滤网的位置可能因机型不同而不同，部分机型可能未配备。 等离子滤网清洁后必须彻底晾干再装回，避免潮湿滤网影响空调内部电气安全。"", [""Manual01_32""]"
86,"""蒸汽清洁机组装说明 无需专用工具 1. 将主机身固定扣（部件 15）从主机身（部件 7）背部取下。 2. 将主机身底部滑入旋转拖头（部件 18）颈部。<PIC>图中主机身与旋转拖头背部的孔位已用白色标注以便识别。 3. 确保旋转拖头颈部背部的孔位与主机身孔位对齐。 4. 将主机身固定扣（部件 15）插入主机身背部孔位，将两部分锁紧。<PIC>5. 按图示将手柄杆（部件 4）插入主机身（部件 7），直至听到咔嗒声到位。<PIC>"", [""Manual05_3"", ""Manual05_4"", ""Manual05_5""]"
87,"""产品功能 水箱： （部件 9）水箱位于手持蒸汽器（部件 13）顶部。 可使用蒸馏水或去离子水替代自来水。 警告： 蒸汽清洁机不可添加任何化学药剂 水箱无水时切勿使用 水过滤器位于水箱（部件 9）后方。 可过滤自来水中的矿物质及杂质。 防止水垢损坏机器。 为延长过滤器寿命，建议使用蒸馏水。 就绪指示灯位于手持蒸汽器（部件 13）手柄处。 水转化为蒸汽、机器可使用时，指示灯亮起。 开关 （部件 2 与部件 11）：按下出蒸汽 旋转拖头 （部件 18）：可清洁狭小空间及橱柜下方 拖布 （部件 16）：吸水纤维拖布可吸附蒸汽松动的污垢。 拖布可重复使用、机洗。 准备工作 安装拖布 1. 按下拖布释放扣（部件 17）拉开挡板 2. 装入拖布（部件 16）<PIC>加水 A. 使用配套量杯按图示加水，见图 A B. 也可按下水箱解锁扣（部件 10），取下水箱在水槽加水，见图 B<PIC>"", [""Manual05_6"", ""Manual05_7""]"
88,"""硬质地面清洁：本蒸汽清洁机适用于瓷砖、Vinyl 地板、复合地板、大理石、石材及封边木地板。在打蜡或部分未打蜡地板上使用可能降低光泽度，不可用于未封边木地板；为达到最佳效果，请先在不显眼处测试或查阅地板厂家保养说明。清洁前先扫地或吸尘，缓慢移动清洁机并按下开关出蒸汽；如需对区域消毒，将蒸汽拖把置于该区域至少 15 秒但不超过 20 秒。不出蒸汽时，拔掉电源、取下水箱加水后继续清洁。可用于硬质表面的配件见图。<PIC>"", [""Manual05_16""]"
89,"""组装人体工学椅涉及的主要部件包括：靠背、座垫、底座、两只扶手、气杆、底盘机构、脚踏、连接件、5 个脚轮、头枕、腰枕、扳手，以及配套螺丝、垫片、橡胶圈和盖帽等小件。<PIC>底座需要先把 C1 中心件和 C2 五星脚用 M6*20 螺丝组合。<PIC>随后安装脚轮、底座盖和气杆。<PIC>底盘机构安装在座垫下方，之后再继续安装脚踏、椅背连接件、扶手、头枕和腰枕。<PIC>"", [""Manual02_0"", ""Manual02_1"", ""Manual02_2"", ""Manual02_3""]"
90,"""椅子扶手使用一段时间后变松，通常是扶手与椅背连接处的螺丝在使用中松动。处理时先把扶手对准椅背的螺丝孔并确认位置正确。<PIC>然后重新拧紧扶手和椅背处的螺丝即可。建议两侧扶手都检查一遍，确认无晃动后再继续使用。"", [""Manual02_8""]"
91,"""高度调节<PIC>向上拉起 “升降” 拉杆即可调节椅子高度，到达所需高度后松开 “升降” 拉杆。调节高度时请将身体微微抬离座椅。<PIC>椅背后仰功能<PIC>向上拉起 “后仰” 拉杆，椅背角度可随人体动作独立倾斜。向下按下 “后仰” 拉杆，椅背角度即可锁定。将椅背复位至正常位置时请靠在椅背上，否则椅背可能会快速回弹。<PIC>按摩功能 插入 USB 即可启用腰枕的按摩功能。"", [""Manual02_11"", ""Manual02_12"", ""Manual02_13"", ""Manual02_14""]"
92,"""洗碗机的主要部件包括台式部件（视型号而定）、上层喷淋臂、下层碗篮、下层喷淋臂、过滤器、控制面板、机门、洗涤剂盒、下层喷淋臂槽、餐具篮、专用盐箱盖、上层篮导轨、带支架的上层碗篮，以及风扇烘干系统（视型号而定）。<PIC>不同型号的配置可能略有差异，实际部件以机器上标注和随机配件为准。"", [""Dish_washer_08""]"
93,"""首次使用前连接洗碗机排水口时，排水管可以直接连接到排水孔或水槽排水口。连接点距地面高度应在 50 厘米到 100 厘米之间。<PIC>排水管长度超过 4 米会影响洗涤效果，因此应尽量平直连接，不得弯折，并牢固固定，防止机器运行时脱落。排水管必须接入污水系统，不能连接到地表水排放处。"", [""Manual06_2""]"
94,"""添加专用盐 软水系统需要再生以保持产品性能稳定，为此需使用洗碗机专用盐。 产品中只能使用洗碗机专用软化盐。 建议使用颗粒或粉末状软化盐。 请勿使用食盐等含不溶物的盐，否则软水系统性能会逐渐下降。 启动产品时盐箱会进水，因此请在启动机器前添加软化盐。 1. 先取出下层碗篮以便添加软化盐。 2. 逆时针旋转盐箱盖打开（A、B）。<PIC>首次使用前，向软水系统注入 1 升水（C）。<PIC>使用盐斗向盐箱加盐（D）。 为加速盐的溶解，可用勺子搅拌。<PIC>盐箱约可装入 2 公斤软化盐。 4. 盐箱加满后盖上盖子并拧紧。 5. 若加盐后不立即启动洗涤程序，请空载运行最短程序，溶解并冲散机器内散落的盐。 由于市场上不同盐品牌的颗粒大小不同，且水硬度可能存在差异，盐在水中的溶解可能需要数小时。因此，加盐后盐量指示灯可能仍会亮一段时间。"", [""Dish_washer_07"", ""Dish_washer_01"", ""Dish_washer_02""]"
95,"""添加洗涤剂 请参考程序表，根据所选程序确定正确的洗涤剂用量。 请勿向洗涤剂盒中加入溶剂，有爆炸危险！ 请按照下图所示，在即将运行机器前将洗涤剂加入洗涤剂盒。1. 向右推动卡扣打开洗涤剂盒盖（A）。<PIC>2. 向洗涤剂盒中加入建议量的粉末或块状洗涤剂。 洗涤剂盒内有刻度标记，帮助您使用适量的洗涤剂。 洗涤剂盒装满容量为 40cm³。 根据机器装载量和 / 或餐具脏污程度，将洗涤剂加至 15cm³ 或 25cm³ 刻度线（1）。<PIC>若餐具放置时间较长且残渣已干涸，可同时加满 5cm³ 小格（5）。 3. 轻轻按下关闭洗涤剂盒盖，听到咔嗒声表示已关紧。 在带预洗的高温程序中使用块状洗涤剂时，请确保洗涤剂盒盖紧闭。 无预洗的短程序建议使用粉末洗涤剂，因为块状洗涤剂的溶解度随温度和时间变化。 过量使用粉末洗涤剂会导致洗涤剂无法完全溶解，并在玻璃器皿上留下划痕。"", [""Dish_washer_03"", ""Manual06_4""]"
